scigrade6,understand,workhard,challenge,choice,makemeth,ownexp,scigrade10,ses,sciach,certsci
4,6,5,3,1,1,1,3,-0.234,16.21,1
3,3,5,6,1,1,1,4,-0.757,27.34,1
5,6,6,5,1,1,1,6,0.114,20.07,1
1,3,5,6,1,1,1,2,-0.34,11.63,1
3,4,4,5,1,1,1,5,0.333,20.96,0
3,3,4,4,1,1,1,7,-0.1,24.75,0
5,2,6,5,1,1,1,8,1.064,33.29,0
2,2,4,3,1,1,1,3,-0.121,16.91,0
5,2,6,6,1,1,2,8,0.18,29.3,0
5,6,5,4,2,4,4,4,-1.017,13.64,0
4,6,6,6,1,1,1,3,-1.307,14.9,0
4,6,6,5,1,1,1,5,-0.423,21.21,0
2,5,4,3,3,1,1,4,-0.589,11.31,0
5,6,6,6,2,3,1,5,-0.579,12.63,0
4,4,6,4,1,1,1,4,-0.143,20.5,1
3,3,5,4,3,1,1,6,0.344,18.02,0
3,6,5,6,1,1,1,5,0.169,19.03,0
3,6,6,6,1,1,1,5,-0.844,17.86,0
3,3,6,6,3,2,1,5,-0.972,17.78,0
4,6,6,6,5,3,1,8,1.818,29.5,1
3,6,5,5,1,1,1,8,-0.897,30.23,0
1,5,4,4,1,1,1,1,-0.956,20.06,0
5,5,4,4,2,1,3,7,-0.966,23.93,1
3,2,6,5,2,1,1,3,-0.042,16.47,0
1,3,3,3,1,1,1,1,-0.102,16.08,0
4,1,1,1,1,1,1,5,-0.619,19,0
4,4,5,6,3,1,3,4,-0.816,16.43,1
3,3,6,4,1,1,1,1,-0.676,19.82,0
4,6,5,5,3,2,1,5,0.661,27.97,1
4,6,6,5,1,3,2,7,0.146,24.21,0
4,2,4,4,1,1,1,6,0,21.43,1
5,6,6,6,1,1,1,7,0.078,26.48,0
4,5,5,6,3,3,2,5,1.196,22.63,0
3,4,6,5,1,1,1,4,-0.25,24.97,0
5,3,5,4,1,1,2,8,0.856,30.21,0
3,2,6,4,4,4,4,7,0.423,16.05,0
2,6,6,5,3,2,4,8,0.212,17.7,0
4,3,4,3,3,3,3,4,0.122,23.37,0
2,2,6,5,1,4,2,4,0.338,23.59,1
4,4,4,5,3,2,2,6,0.7,20.18,0
4,4,6,5,1,1,2,4,-0.646,25.71,0
2,4,6,6,1,1,1,4,-0.735,20.99,1
5,4,6,6,1,2,1,7,1.038,32.82,1
5,4,6,6,2,1,1,5,-0.277,25.67,0
4,3,6,6,1,1,1,7,0.337,28.04,0
5,2,4,3,1,1,1,7,0.516,28.55,0
4,3,5,4,1,1,4,6,0.851,21.88,0
4,3,5,6,1,1,1,3,-0.488,20.77,0
5,4,6,6,1,1,1,7,1.144,21.01,0
5,2,5,5,1,1,1,6,0.878,30.59,0
5,3,5,4,1,2,1,8,0.191,27.93,0
5,4,3,3,1,1,1,8,0.061,32.94,0
5,3,4,5,1,1,1,5,0.434,29.65,0
4,3,5,4,1,1,1,5,-0.579,20.61,0
